,metric,partition,value,iteration
0,MAPE,test,2.6871333490854727,180
1,MAPE,train,28.3310461827069,180
2,MAPE,valid,58.47799336709586,180
3,MAE,test,2528.836570529271,180
4,MAE,train,2344.2385047466437,180
5,MAE,valid,2962.7526719873003,180
6,emp_coverage_80pct,test,0.8074745186862967,180
7,emp_coverage_80pct,train,0.8239043824701195,180
8,emp_coverage_80pct,valid,0.7661227661227661,180
9,perc_lenght_80pct,test,7.539681790737839,180
10,perc_lenght_80pct,train,74.81908020729058,180
11,perc_lenght_80pct,valid,391.692828492027,180
12,abs_lenght_80pct,test,8406.3473752008,180
13,abs_lenght_80pct,train,8351.863364338507,180
14,abs_lenght_80pct,valid,8570.569073014665,180
15,confidence_error,test,0.07284869150688911,180
16,confidence_error,train,0.0958925330182809,180
17,confidence_error,valid,0.03736292017279773,180
18,elbo,train,112429.98901844025,180
0,MAPE,test,2.2992189299490806,190
1,MAPE,train,28.927080756064083,190
2,MAPE,valid,69.63024722840481,190
3,MAE,test,2828.3477694560497,190
4,MAE,train,2608.4925636485364,190
5,MAE,valid,3470.4265134366456,190
6,emp_coverage_80pct,test,0.7712344280860702,190
7,emp_coverage_80pct,train,0.7955378486055776,190
8,emp_coverage_80pct,valid,0.7171717171717171,190
9,perc_lenght_80pct,test,8.501257899694538,190
10,perc_lenght_80pct,train,78.92939280254555,190
11,perc_lenght_80pct,valid,366.54257979365707,190
12,abs_lenght_80pct,test,8724.016317549189,190
13,abs_lenght_80pct,train,8688.147393778887,190
14,abs_lenght_80pct,valid,9021.701858697847,190
15,confidence_error,test,0.06598576127255397,190
16,confidence_error,train,0.07554363410332013,190
17,confidence_error,valid,0.08548037958025129,190
18,elbo,train,110526.54136562347,190
0,MAPE,test,2.6146409551371264,200
1,MAPE,train,30.652761904948598,200
2,MAPE,valid,74.95867730425638,200
3,MAE,test,2708.836755755419,200
4,MAE,train,2513.032713091391,200
5,MAE,valid,3215.589618768817,200
6,emp_coverage_80pct,test,0.7655719139297849,200
7,emp_coverage_80pct,train,0.7768924302788844,200
8,emp_coverage_80pct,valid,0.6915306915306916,200
9,perc_lenght_80pct,test,8.526747784954967,200
10,perc_lenght_80pct,train,65.7243191307877,200
11,perc_lenght_80pct,valid,253.80080482747445,200
12,abs_lenght_80pct,test,7764.5654653315,200
13,abs_lenght_80pct,train,7715.984654091744,200
14,abs_lenght_80pct,valid,7961.426092184804,200
15,confidence_error,test,0.05104523077634225,200
16,confidence_error,train,0.026427721483910274,200
17,confidence_error,valid,0.15501022786737073,200
18,elbo,train,118130.87688875198,200
0,MAPE,test,2.1903568376975193,210
1,MAPE,train,23.063076192745548,210
2,MAPE,valid,53.57671210795168,210
3,MAE,test,2482.6067941764595,210
4,MAE,train,2312.3979805870345,210
5,MAE,valid,2728.0754287769505,210
6,emp_coverage_80pct,test,0.8357870894677236,210
7,emp_coverage_80pct,train,0.8497211155378486,210
8,emp_coverage_80pct,valid,0.8135198135198135,210
9,perc_lenght_80pct,test,10.156120824101171,210
10,perc_lenght_80pct,train,73.63758409610045,210
11,perc_lenght_80pct,valid,313.54453179529816,210
12,abs_lenght_80pct,test,8800.487650055346,210
13,abs_lenght_80pct,train,8774.129974279595,210
14,abs_lenght_80pct,valid,9004.109512594408,210
15,confidence_error,test,0.12292732180579727,210
16,confidence_error,train,0.14234041758165178,210
17,confidence_error,valid,0.05624573643136907,210
18,elbo,train,114800.52758407593,210
0,MAPE,test,2.352168019821287,220
1,MAPE,train,25.5362134725041,220
2,MAPE,valid,68.36087662094839,220
3,MAE,test,2446.7108956726024,220
4,MAE,train,2277.633111049556,220
5,MAE,valid,2698.727968613416,220
6,emp_coverage_80pct,test,0.8097395243488109,220
7,emp_coverage_80pct,train,0.8347410358565737,220
8,emp_coverage_80pct,valid,0.7855477855477856,220
9,perc_lenght_80pct,test,8.80517893719665,220
10,perc_lenght_80pct,train,76.66658885733582,220
11,perc_lenght_80pct,valid,370.9083156773838,220
12,abs_lenght_80pct,test,8095.55870877715,220
13,abs_lenght_80pct,train,8052.541156854269,220
14,abs_lenght_80pct,valid,8239.915765879248,220
15,confidence_error,test,0.1175961505035416,220
16,confidence_error,train,0.1375198197895631,220
17,confidence_error,valid,0.049680946136468,220
18,elbo,train,110358.85981178284,220
0,MAPE,test,2.449082255422858,230
1,MAPE,train,26.214897326472954,230
2,MAPE,valid,56.9778200164525,230
3,MAE,test,2553.8831450842326,230
4,MAE,train,2347.0692375964923,230
5,MAE,valid,3037.591104373059,230
6,emp_coverage_80pct,test,0.7995469988674971,230
