,metric,partition,value,iteration
5,diameter_80pct,valid,1.5033779960440263,23
6,mape,test,0.29887437975112036,23
7,mape,train,0.23297297728615013,23
8,mape,valid,0.29299115029512607,23
9,confidence_error,test,0.3834670775236687,23
10,confidence_error,train,0.467975515497826,23
11,confidence_error,valid,0.34769328123232235,23
12,elbo,train,10325.02285194397,23
0,coverage_80pct,test,0.9029850746268657,24
1,coverage_80pct,train,0.9252336448598131,24
2,coverage_80pct,valid,0.8731343283582089,24
3,diameter_80pct,test,1.5797169561813451,24
4,diameter_80pct,train,1.565272268170504,24
5,diameter_80pct,valid,1.5945354119225545,24
6,mape,test,0.3669577509605426,24
7,mape,train,0.29563225392677017,24
8,mape,valid,0.362008536535778,24
9,confidence_error,test,0.31127223385778313,24
10,confidence_error,train,0.39338308105267666,24
11,confidence_error,valid,0.2710470028284234,24
12,elbo,train,10404.277293682098,24
0,coverage_80pct,test,0.8955223880597015,25
1,coverage_80pct,train,0.9299065420560748,25
2,coverage_80pct,valid,0.8582089552238806,25
3,diameter_80pct,test,1.534044791141051,25
4,diameter_80pct,train,1.484469345919892,25
5,diameter_80pct,valid,1.53519652174141,25
6,mape,test,0.3069221287602325,25
7,mape,train,0.24336733716899153,25
8,mape,valid,0.3037365153217355,25
9,confidence_error,test,0.3498761545873299,25
10,confidence_error,train,0.4434166206136851,25
11,confidence_error,valid,0.338836829206736,25
12,elbo,train,10340.567633152008,25
0,coverage_80pct,test,0.8805970149253731,26
1,coverage_80pct,train,0.922429906542056,26
2,coverage_80pct,valid,0.8582089552238806,26
3,diameter_80pct,test,1.5061939303739695,26
4,diameter_80pct,train,1.4981573550800493,26
5,diameter_80pct,valid,1.510639249636537,26
6,mape,test,0.3386916111126001,26
7,mape,train,0.2715499818626408,26
8,mape,valid,0.3393640122045959,26
9,confidence_error,test,0.3348286370728615,26
10,confidence_error,train,0.4085827468772746,26
11,confidence_error,valid,0.27550127894471826,26
12,elbo,train,10253.833436012268,26
0,coverage_80pct,test,0.8805970149253731,27
1,coverage_80pct,train,0.9149532710280374,27
2,coverage_80pct,valid,0.8432835820895522,27
3,diameter_80pct,test,1.6127570431088785,27
4,diameter_80pct,train,1.612229057661494,27
5,diameter_80pct,valid,1.6215442421915744,27
6,mape,test,0.37734088010575856,27
7,mape,train,0.3052515155690716,27
8,mape,valid,0.3798842468888015,27
9,confidence_error,test,0.297633407174871,27
10,confidence_error,train,0.3739511092807903,27
11,confidence_error,valid,0.22753965728210268,27
12,elbo,train,10235.092103004456,27
0,coverage_80pct,test,0.8955223880597015,28
1,coverage_80pct,train,0.9289719626168225,28
2,coverage_80pct,valid,0.8582089552238806,28
3,diameter_80pct,test,1.5134488957860577,28
4,diameter_80pct,train,1.4980207205227583,28
5,diameter_80pct,valid,1.524777866781981,28
6,mape,test,0.31351881303989343,28
7,mape,train,0.2545790419369469,28
8,mape,valid,0.32316870048224267,28
9,confidence_error,test,0.36294773545848424,28
10,confidence_error,train,0.414007694426388,28
11,confidence_error,valid,0.2862900915414596,28
12,elbo,train,10206.49107837677,28
0,coverage_80pct,test,0.8656716417910447,29
1,coverage_80pct,train,0.914018691588785,29
2,coverage_80pct,valid,0.8582089552238806,29
3,diameter_80pct,test,1.4683945368191564,29
4,diameter_80pct,train,1.4585558979866367,29
5,diameter_80pct,valid,1.4768817294604855,29
6,mape,test,0.35063099618654187,29
7,mape,train,0.2794254498301543,29
8,mape,valid,0.34468082192547733,29
9,confidence_error,test,0.3311090743782131,29
10,confidence_error,train,0.41200902953987223,29
11,confidence_error,valid,0.302550728688917,29
12,elbo,train,10349.098313331604,29
0,coverage_80pct,test,0.8805970149253731,30
