,metric,partition,value,iteration
13,abs_lenght_80pct,train,14181.437821192894,24
14,abs_lenght_80pct,valid,14395.31181192343,24
15,confidence_error,test,0.3086854753305526,24
16,confidence_error,train,0.3691968662745663,24
17,confidence_error,valid,0.27854118147289375,24
18,elbo,train,10323.897896766663,24
0,MAPE,test,0.31112322204584153,25
1,MAPE,train,0.2640079693282226,25
2,MAPE,valid,0.2986135175014245,25
3,MAE,test,3035.2090582993246,25
4,MAE,train,2455.5716671548757,25
5,MAE,valid,3491.80954923449,25
6,emp_coverage_80pct,test,0.9029850746268657,25
7,emp_coverage_80pct,train,0.9261682242990654,25
8,emp_coverage_80pct,valid,0.8432835820895522,25
9,perc_lenght_80pct,test,1.483910538578195,25
10,perc_lenght_80pct,train,1.4162278355998061,25
11,perc_lenght_80pct,valid,1.3970370892112414,25
12,abs_lenght_80pct,test,13162.93191560222,25
13,abs_lenght_80pct,train,13128.300127805007,25
14,abs_lenght_80pct,valid,13285.739293204748,25
15,confidence_error,test,0.3343726516936351,25
16,confidence_error,train,0.37542127977828554,25
17,confidence_error,valid,0.2982948651494714,25
18,elbo,train,10330.245279312134,25
0,MAPE,test,0.39874039993269655,26
1,MAPE,train,0.34098941085297874,26
2,MAPE,valid,0.38800857059007476,26
3,MAE,test,3273.2587929191927,26
4,MAE,train,2785.7397725998967,26
5,MAE,valid,3707.649166384094,26
6,emp_coverage_80pct,test,0.9029850746268657,26
7,emp_coverage_80pct,train,0.9242990654205607,26
8,emp_coverage_80pct,valid,0.8507462686567164,26
9,perc_lenght_80pct,test,1.5430674688351693,26
10,perc_lenght_80pct,train,1.4738795704367647,26
11,perc_lenght_80pct,valid,1.4914750309545177,26
12,abs_lenght_80pct,test,13654.348817723016,26
13,abs_lenght_80pct,train,13592.899483527439,26
14,abs_lenght_80pct,valid,13992.970625091677,26
15,confidence_error,test,0.2381597366768822,26
16,confidence_error,train,0.3077358271748142,26
17,confidence_error,valid,0.22776912649580094,26
18,elbo,train,10217.597805976868,26
0,MAPE,test,0.34000838014646667,27
1,MAPE,train,0.2863051647498951,27
2,MAPE,valid,0.3232323189857845,27
3,MAE,test,3102.2187709042682,27
4,MAE,train,2554.082425017756,27
5,MAE,valid,3549.875333481226,27
6,emp_coverage_80pct,test,0.9029850746268657,27
7,emp_coverage_80pct,train,0.922429906542056,27
8,emp_coverage_80pct,valid,0.8507462686567164,27
9,perc_lenght_80pct,test,1.4739172457221397,27
10,perc_lenght_80pct,train,1.3861907183583526,27
11,perc_lenght_80pct,valid,1.3898472859698585,27
12,abs_lenght_80pct,test,12890.432770706013,27
13,abs_lenght_80pct,train,12686.545401390094,27
14,abs_lenght_80pct,valid,12978.7155886554,27
15,confidence_error,test,0.29576588958580696,27
16,confidence_error,train,0.3277605458473299,27
17,confidence_error,valid,0.24698366794929977,27
18,elbo,train,10288.47551870346,27
0,MAPE,test,0.3628740748594572,28
1,MAPE,train,0.31482665657374503,28
2,MAPE,valid,0.35053449716368174,28
3,MAE,test,3175.543453984958,28
4,MAE,train,2723.2319722103675,28
5,MAE,valid,3658.56089426714,28
6,emp_coverage_80pct,test,0.9029850746268657,28
7,emp_coverage_80pct,train,0.9233644859813084,28
8,emp_coverage_80pct,valid,0.8507462686567164,28
9,perc_lenght_80pct,test,1.509164201313561,28
10,perc_lenght_80pct,train,1.4219614832339795,28
11,perc_lenght_80pct,valid,1.4183847408358443,28
12,abs_lenght_80pct,test,13918.557902283434,28
13,abs_lenght_80pct,train,13657.227125894811,28
14,abs_lenght_80pct,valid,13849.085556392514,28
15,confidence_error,test,0.2521432883064893,28
16,confidence_error,train,0.2938376826010969,28
17,confidence_error,valid,0.2306570338975675,28
18,elbo,train,10257.534615516663,28
0,MAPE,test,0.35418501396450625,29
1,MAPE,train,0.30552284808429897,29
2,MAPE,valid,0.34950473981738145,29
3,MAE,test,3156.412689479361,29
4,MAE,train,2637.976685911814,29
5,MAE,valid,3684.1147545633144,29
6,emp_coverage_80pct,test,0.9104477611940298,29
7,emp_coverage_80pct,train,0.9242990654205607,29
8,emp_coverage_80pct,valid,0.8507462686567164,29
9,perc_lenght_80pct,test,1.561551238535549,29
10,perc_lenght_80pct,train,1.472523114487832,29
11,perc_lenght_80pct,valid,1.5094733929133612,29
12,abs_lenght_80pct,test,14006.7377572737,29
13,abs_lenght_80pct,train,13902.246843981471,29
14,abs_lenght_80pct,valid,14269.894217297304,29
15,confidence_error,test,0.3001737482516614,29
